call_id,case_id,caller,callee,call_time,duration,call_channel,call_type,location,content,embedding_id,raw_data
2067bdac-88bd-43d1-b540-b30e039f3a25,C001,15534192832,13559407816,2025-03-17 22:33:38,13,移动,接通,城东基站-01,,,
7a4c75d4-dc99-404c-b0e9-8b3b40a26c60,C001,16648350305,13559407816,2025-03-31 20:40:55,23,移动,接通,城东基站-01,,,
39c6a1ca-9e50-4a42-8a6d-fda1989bc4da,C001,19413164752,15534192832,2025-01-10 13:43:03,10,电信,接通,北站基站-02,,,
43bfd931-3605-4f54-a021-c0ca3531968d,C001,15534192832,16413953767,2025-02-08 18:27:19,1,电信,接通,城东基站-03,,,
1238d630-743b-45a2-9c0f-2fcfb3f6fe0d,C001,18654235116,17386379402,2025-03-12 06:00:26,16,电信,接通,城西基站-07,,,
1fd5a423-706c-4c56-89e2-623debd34616,C001,16413953767,18654235116,2025-02-24 07:14:41,74,联通,接通,城西基站-07,,,
dc4ad56b-d601-4237-ac9e-d156f63fce41,C001,19413164752,13559407816,2025-03-06 13:28:05,61,联通,接通,城东基站-01,你到了给我打电话。,,
d0725b5c-a281-4044-af96-288295d82980,C001,13559407816,18104332181,2025-01-23 12:41:28,0,联通,未接,城东基站-01,,,
0964fbbf-8cd3-41b0-82b0-1cfdd045dd1c,C001,15534192832,13849593103,2025-02-22 10:42:06,37,联通,接通,城西基站-07,,,
47c1c017-6045-4909-936d-47d73e0f84ce,C001,18104332181,17600133890,2025-03-30 03:36:50,1736,电信,接通,城西基站-07,,,
8cd34c62-c482-4b71-ae84-b81c2e0fb5b3,C001,18104332181,17600133890,2025-01-15 02:37:34,927,微信语音,接通,北站基站-02,,,
d1a7ba20-11b4-41e9-b15d-a72dd4cee27c,C001,18104332181,17600133890,2025-01-27 03:51:18,1768,电信,接通,北站基站-02,,,
a89e22f2-40af-4f3f-bdf5-19674d8670bd,C001,18104332181,17600133890,2025-03-28 03:08:40,1057,电信,接通,北站基站-02,,,
81b15db9-88cc-4d49-a69b-29b8950df1a0,C001,18104332181,17600133890,2025-01-10 03:38:30,1790,电信,接通,大学城基站-05,,,
a35fc9c1-9804-4562-8972-abbdcff2b1c4,C001,18104332181,17600133890,2025-01-05 03:44:57,987,移动,接通,城东基站-03,,,
fbcdbf5e-902f-4465-8b57-07209cd8758b,C001,18104332181,17600133890,2025-03-26 03:10:41,1560,电信,接通,北站基站-02,,,
82bbad84-38d5-401f-823c-ad9d193e4783,C001,18104332181,17600133890,2025-02-12 03:06:00,1664,联通,接通,大学城基站-05,,,
b0c07fcc-96ad-44df-adf7-5924c5b8386b,C001,18104332181,17386379402,2025-02-20 19:14:00,556,移动,接通,城东基站-01,,,
a5e15b55-57d3-44dd-9963-dc7205c8234b,C001,18104332181,18654235116,2025-01-13 15:03:00,193,移动,接通,城南仓库基站,,,
